var_id	tag	cdx_name	array	notes
0x02CD	VA9	Summary-TargetMinuteVentilation-95	g2	active_vids=12; 0..30 step 0.125
0x02CE	VAA	Summary-TargetMinuteVentilation-100	g2	active_vids=12; 0..30 step 0.125
0x02CF	VAM	Summary-TargetMinuteVentilation-50	g2	active_vids=12; 0..30 step 0.125
0x02D0	ZT5		g2	0..65535 step 1
0x02D1	S11		g2	0..100 step 1
0x02D2	L07		g2	0..100 step 1
0x02D3	ZT2		g2	0..65535 step 1
0x02D4	S10		g2	0..100 step 1
0x02D5	L04		g2	0..100 step 1
0x02D6	ZMN		g2	0..65535 step 1
0x02D7	ZT7		g2	0..65535 step 1
0x02D8	ZT6		g2	0..65535 step 1
0x02D9	ZT3		g2	0..65535 step 1
0x02DA	S20		g2	0..100 step 1
0x02DB	L05		g2	0..100 step 1
0x02DC	S44		g2	0..100 step 1
0x02DD	ZT4		g2	0..65535 step 1
0x02DE	S40		g2	0..100 step 1
0x02DF	L06		g2	0..100 step 1
0x02E0	ZT1		g2	0..65535 step 1
0x02E1	SCC		g2	0..100 step 1
0x02E2	L22		g2	0..100 step 1
0x02E3	L16		g2	0..100 step 1
0x02E4	SMC		g2	0..100 step 1
0x02E5	ZTM		g2	0..65535 step 1
0x02E6	L08		g2	0..100 step 1
0x02E7	L15		g2	0..100 step 1
0x02E8	L13		g2	0..100 step 1
0x02E9	L21		g2	0..100 step 1
0x02EA	L12		g2	0..100 step 1
0x02EB	L11		g2	0..100 step 1
0x02EC	L23		g2	0..100 step 1
0x02ED	L24		g2	0..100 step 1
0x02EE	L14		g2	0..100 step 1
0x02EF	SPS		g2	0..100 step 1
0x02F0	SPL		g2	0..100 step 1
0x02F1	SEE		g2	0..100 step 1
0x02F2	SM0		g2	0..100 step 1
0x02F3	SM1		g2	0..100 step 1
0x02F4	SM2		g2	0..100 step 1
0x02F5	ZTS		g2	0..65535 step 1
0x02F6	TDP	TestDrivePressure	g2	4..10 step 0.2
0x02F7	TDM		g2	0..1440 step 1
0x02F8	SCT		g2	0..2147483647 step 1
0x02F9	TID	TidalVolume	g2	0..4 step 1
0x02FA	TI5	TidalVolume-50hz	g2	0..4 step 1
0x02FB	TDD		g2	0..4 step 1
0x02FC	ZTD		g2	0..4000 step 1; modes=Spont,ST,Timed,VAuto,ASV,ASVAuto,iVAPS,PAC
0x02FD	TD2		g2	0..4 step 1
0x02FE	TBC		g2	0..65535 step 1
0x02FF	SBD		g2	0..65535 step 1
0x0300	ZS7		g2	0..2147483647 step 1
0x0301	TZO	TimeZoneOffset	g2	-720..840 step 60
0x0302	L03		g2	0..100 step 1
0x0303	L02		g2	0..100 step 1
0x0304	TCT		g2	0..2147483647 step 1
0x0305	TPS		g2	0..60000 step 1
0x0306	L18		g2	0..100 step 1
0x0307	XB2	Timed-TargetExpiratoryPressure	g2	active_vids=10; 2..25 step 0.2; modes=Timed
0x0308	XBA	Timed-FallTime	g2	INACT; 0.1..0.7 step 0.1; modes=Timed
0x0309	XB8		g2	active_vids=10; 0..200 step 1; modes=Timed
0x030A	XB1	Timed-TargetInspiratoryPressure	g2	active_vids=10; 4..25 step 0.2; modes=Timed
0x030B	XB4	Timed-SetRespiratoryRate	g2	active_vids=10; 5..50 step 1; modes=Timed
0x030C	XB7	Timed-RiseTime	g2	active_vids=10; 0.15..0.9 step 0.05; modes=Timed
0x030D	XB0	Timed-StartPressure	g2	active_vids=10; 2..25 step 0.2
0x030E	XB5	Timed-SetInspiratoryTime	g2	active_vids=10; 0.3..4 step 0.1; modes=Timed
0x030F	USC	Summary-UnknownApneaIndex	g2	active_vids=3,7; 0..240 step 0.1
0x0310	UAC		g2	0..4095 step 1
0x0311	OAP	UpgradeAbandonPeriod	g2	86400..31536000 step 1
0x0312	UFS		g2	0..2147483647 step 1
0x0313	ORP	UpgradeReportPeriod	g2	60..31536000 step 1
0x0314	VTD	VALOTriggerSeconds	g2	20..3600 step 1
0x0315	VID	VariantIdentifier	g2	0..99 step 1
0x0316	XE1	VAuto-MaxInspiratoryPressure	g2	active_vids=7; 4..25 step 0.2; modes=VAuto
0x0317	XE2	VAuto-MinExpiratoryPressure	g2	active_vids=7; 4..25 step 0.2; modes=VAuto
0x0318	XE3	VAuto-SetPressureSupport	g2	active_vids=7; 0..10 step 0.2; modes=VAuto
0x0319	XE0	VAuto-StartPressure	g2	active_vids=7; 4..25 step 0.2
0x031A	XE4	VAuto-SetMaxInspiratoryTime	g2	active_vids=7; 0.3..4 step 0.1; modes=VAuto
0x031B	XE5	VAuto-SetMinInspiratoryTime	g2	active_vids=7; 0.1..4 step 0.1; modes=VAuto
0x031C	TV9	Summary-TidalVolume-95	g2	0..4 step 1
0x031D	TVA	Summary-TidalVolume-100	g2	0..4 step 1
0x031E	TVM	Summary-TidalVolume-50	g2	0..4 step 1
0x031F	ZSS		g2	0..2147483647 step 1
0x0320	AST		g3	bits=5 fixed=0x00000000 editable=0x0000001f
0x0321	SDS		g3	bits=7 fixed=0x00000000 editable=0x0000007f
0x0322	SYC		g3	bits=7 fixed=0x00000000 editable=0x0000007f
0x0323	SY1		g3	bits=7 fixed=0x00000000 editable=0x0000007f
0x0324	ZOX		g3	bits=11 fixed=0x00000000 editable=0x000007ff
0x0325	CLS	CurrentLEDState	g3	bits=4 fixed=0x00000000 editable=0x0000000f
0x0326	FIF		g3	bits=30 fixed=0x00000000 editable=0x3fffffff
0x0327	ZF1		g3	bits=2 fixed=0x00000000 editable=0x00000003
0x0328	SYH		g3	bits=6 fixed=0x00000000 editable=0x0000003f
0x0329	SY2		g3	bits=4 fixed=0x00000000 editable=0x0000000f
0x032A	ZOY		g3	bits=1 fixed=0x00000000 editable=0x00000001
0x032B	LNC	LanguageConfiguration	g3	bits=27 fixed=0x000000a3 editable=0x07ffffff
0x032C	REM		g3	bits=3 fixed=0x00000000 editable=0x00000007
0x032D	ZPC		g3	bits=14 fixed=0x00000000 editable=0x00003fff
0x032E	OCS		g3	bits=3 fixed=0x00000000 editable=0x00000007
0x032F	AER	ActiveAlarms	g3	INACT; bits=9 fixed=0x00000000 editable=0x00000000
0x0330	RSA		g3	bits=4 fixed=0x00000000 editable=0x0000000f
0x0331	RSE		g3	bits=4 fixed=0x00000000 editable=0x0000000f
0x0332	RLS	RequestLEDState	g3	bits=4 fixed=0x00000000 editable=0x0000000f
0x0333	ZPK		g3	bits=1 fixed=0x00000000 editable=0x00000001
0x0334	FMS		g3	bits=6 fixed=0x00000000 editable=0x0000003f
0x0335	SMS		g3	bits=6 fixed=0x00000000 editable=0x0000003f
0x0336	UMS		g3	bits=6 fixed=0x00000000 editable=0x0000003f
0x0337	LCS	LCDConnector	g3	bits=2 fixed=0x00000000 editable=0x00000003
0x0338	TEC		g3	bits=4 fixed=0x00000000 editable=0x0000000f
0x0339	TEG		g3	bits=8 fixed=0x00000000 editable=0x000000ff
0x033A	ABF	AntiBacterialFilter	g5	2 opts mask=0x00000003
0x033B	ASL		g5	2 opts mask=0x00000003
0x033C	TLT		g5	2 opts mask=0x00000003
0x033D	AKO		g5	7 opts mask=0x0000007f
0x033E	ABC		g5	2 opts mask=0x00000003
0x033F	AFS		g5	5 opts mask=0x0000001f
0x0340	AGC		g5	2 opts mask=0x00000003
0x0341	AMS		g5	2 opts mask=0x00000003
0x0342	AMQ		g5	2 opts mask=0x00000003
0x0343	ACY		g5	3 opts mask=0x00000007
0x0344	ATT		g5	3 opts mask=0x00000007
0x0345	ALT		g5	4 opts mask=0x0000000f
0x0346	ATQ		g5	4 opts mask=0x0000000f
0x0347	AUP		g5	2 opts mask=0x00000003
0x0348	AUS		g5	5 opts mask=0x0000001f
0x0349	AVO		g5	3 opts mask=0x00000007
0x034A	AVP		g5	4 opts mask=0x0000000f
0x034B	AVQ	AlarmVolumeLevel	g5	INACT; 3 opts mask=0x00000000
0x034C	ANC	ApneaAlarmEnable	g5	INACT; 2 opts mask=0x00000000
0x034D	AET	RespiratoryEvent	g5	8 opts mask=0x000000ff
0x034E	AFF		g5	2 opts mask=0x00000003
0x034F	AFC	AutoSetComfort	g5	active_vids=3; 2 opts mask=0x00000003; modes=AutoSet
0x0350	AKM		g5	4 opts mask=0x0000000f
0x0351	BTR		g5	2 opts mask=0x00000001
0x0352	BTE	TriggerCycleEvent	g5	6 opts mask=0x0000003f
0x0353	BAS		g5	2 opts mask=0x00000003
0x0354	BCO		g5	8 opts mask=0x000000ff
0x0355	BCR		g5	2 opts mask=0x00000003
0x0356	BDS		g5	2 opts mask=0x00000003
0x0357	BNP	BluetoothPassthrough	g5	2 opts mask=0x00000003
0x0358	BRS		g5	2 opts mask=0x00000003
0x0359	BSC		g5	2 opts mask=0x00000003
0x035A	BTU		g5	2 opts mask=0x00000003
0x035B	ZLE		g5	2 opts mask=0x00000003
0x035C	CEN		g5	active_vids=3,7; 2 opts mask=0x00000003
0x035D	CAL		g5	15 opts mask=0x00007fff
